"taxaSubGroup","allOccCount"
"Algae",295
"Amphibians",409324
"Angiosperms",520659
"Arachnida",25996
"Ascomycota",1402
"Bacteria",9
"Basidiomycota",1852
"Birds",9243670
"Bivalves",571
"Cephalopods",34
"Chromista",2241
"Cnidarians",743
"Coleoptera",16581
"Echinoderms",544
"Ferns",66753
"Fishes",28258
"Gastropods",18887
"Gymnosperms",4692
"Lepidoptera",148296
"Malacostraca",15327
"Mammals",353063
"Mossess",2460
"Other animals",3393
"Other arthropods",2451
"Other fungi",160
"Other insects",57161
"Other molluscs",181
"Other plants",26
"Protozoa",140
"Reptiles",29995
"Unclassified",107
