"taxonID","taxonRank","taxaSubGroup","family","unrecorded","recorded"
"t0026339","species","Ferns","Lycopodiaceae","Phlegmariurus","Phlegmariurus changii"
"t0026361","species","Ferns","Ophioglossaceae","Ophioglossum","Ophioglossum parvifolium"
"t0026454","species","Ferns","Plagiogyriaceae","Plagiogyria","Plagiogyria pycnophylla"
"t0026569","species","Ferns","Pteridaceae","Haplopteris","Haplopteris capillaris"
"t0026608","species","Ferns","Dennstaedtiaceae","Paesia","Paesia luzonica"
"t0026677","species","Ferns","Dryopteridaceae","Dryopteris","Dryopteris nyingchiensis"
"t0026715","species","Ferns","Dryopteridaceae","Polystichum","Polystichum pseudodeltodon"
"t0026823","species","Ferns","Polypodiaceae","Lepisorus","Lepisorus kuchenensis"
"t0026851","species","Ferns","Polypodiaceae","Neolepisorus","Neolepisorus platyphyllus"
"t0026917","species","Ferns","Aspleniaceae","Asplenium","Asplenium subtrialatum"
"t0026961","species","Ferns","Thelypteridaceae","Cyclogramma","Cyclogramma leveillei"
"t0027070","species","Other insects","Cicadellidae","Anatkina","Anatkina hopponis"
"t0027072","species","Other insects","Cicadellidae","Atkinsoniella","Atkinsoniella rinkihonis"
"t0027074","species","Other insects","Cicadellidae","Cicadella","Cicadella viridis"
"t0027075","species","Other insects","Cicadellidae","Erragonalia","Erragonalia buysi"
"t0027076","species","Other insects","Cicadellidae","Cofana","Cofana nigrilinea"
"t0027078","species","Other insects","Cicadellidae","Cofana","Cofana subvirescens"
"t0027079","species","Other insects","Cicadellidae","Cofana","Cofana unimaculata"
"t0027080","species","Other insects","Cicadellidae","Kolla","Kolla insignis"
"t0027081","species","Other insects","Cicadellidae","Kolla","Kolla paulula"
"t0027083","species","Basidiomycota","Mycenaceae","Mycena","Mycena diplazii"
"t0027086","species","Other insects","Calliphoridae","Idiella","Idiella euidielloides"
"t0027087","species","Other insects","Calliphoridae","Idiella","Idiella mandarina"
"t0027088","species","Other insects","Calliphoridae","Idiellopsis","Idiellopsis xanthogaster"
