"taxaSubGroup","habitat","taicol.count","record.count","cum.total"
"Algae","is_terrestrial",40,17,23
"Amphibians","is_terrestrial",43,43,0
"Angiosperms","is_terrestrial",6331,5029,1302
"Arachnida","is_terrestrial",1952,401,1551
"Ascomycota","is_terrestrial",20,2,18
"Bacteria","is_terrestrial",82,14,68
"Basidiomycota","is_terrestrial",1915,444,1471
"Birds","is_terrestrial",710,662,48
"Chromista","is_terrestrial",123,29,94
"Coleoptera","is_terrestrial",7430,1414,6016
"Ferns","is_terrestrial",752,732,20
"Gastropods","is_terrestrial",337,250,87
"Gymnosperms","is_terrestrial",129,63,66
"Lepidoptera","is_terrestrial",5123,3537,1586
"Malacostraca","is_terrestrial",74,35,39
"Mammals","is_terrestrial",93,70,23
"Mossess","is_terrestrial",1538,724,814
"Other animals","is_terrestrial",176,62,114
"Other arthropods","is_terrestrial",154,26,128
"Other fungi","is_terrestrial",11,5,6
"Other insects","is_terrestrial",10894,1664,9230
"Protozoa","is_terrestrial",248,53,195
"Reptiles","is_terrestrial",120,100,20
"Algae","is_freshwater",465,161,304
"Amphibians","is_freshwater",43,43,0
"Angiosperms","is_freshwater",282,266,16
"Archaea","is_freshwater",1,0,1
"Ascomycota","is_freshwater",12,6,6
"Bacteria","is_freshwater",165,57,108
"Birds","is_freshwater",85,69,16
"Bivalves","is_freshwater",3,3,0
"Chromista","is_freshwater",603,258,345
"Cnidarians","is_freshwater",1,0,1
"Coleoptera","is_freshwater",219,56,163
"Ferns","is_freshwater",14,13,1
"Fishes","is_freshwater",269,220,49
"Gastropods","is_freshwater",7,6,1
"Lepidoptera","is_freshwater",9,7,2
"Malacostraca","is_freshwater",109,92,17
"Mammals","is_freshwater",3,2,1
"Mossess","is_freshwater",1,1,0
"Other animals","is_freshwater",91,29,62
"Other arthropods","is_freshwater",98,6,92
"Other fungi","is_freshwater",2,1,1
"Other insects","is_freshwater",1437,289,1148
"Protozoa","is_freshwater",144,50,94
"Reptiles","is_freshwater",16,11,5
"Algae","is_brackish",18,9,9
"Angiosperms","is_brackish",126,112,14
"Arachnida","is_brackish",1,0,1
"Ascomycota","is_brackish",8,3,5
"Bacteria","is_brackish",18,7,11
"Birds","is_brackish",5,5,0
"Chromista","is_brackish",85,32,53
"Cnidarians","is_brackish",2,1,1
"Ferns","is_brackish",3,3,0
"Fishes","is_brackish",419,327,92
"Gastropods","is_brackish",9,3,6
"Malacostraca","is_brackish",98,61,37
"Other animals","is_brackish",29,6,23
"Other arthropods","is_brackish",88,9,79
"Other insects","is_brackish",2,0,2
"Protozoa","is_brackish",9,4,5
"Reptiles","is_brackish",2,1,1
"Algae","is_marine",478,161,317
"Angiosperms","is_marine",27,20,7
"Arachnida","is_marine",19,0,19
"Archaea","is_marine",4,0,4
"Ascomycota","is_marine",234,73,161
"Bacteria","is_marine",255,18,237
"Basidiomycota","is_marine",13,4,9
"Birds","is_marine",39,35,4
"Bivalves","is_marine",830,274,556
"Cephalopods","is_marine",111,41,70
"Chromista","is_marine",1442,410,1032
"Cnidarians","is_marine",980,374,606
"Coleoptera","is_marine",37,3,34
"Echinoderms","is_marine",256,89,167
"Fishes","is_marine",3227,2273,954
"Gastropods","is_marine",2810,1071,1739
"Malacostraca","is_marine",1895,584,1311
"Mammals","is_marine",36,30,6
"Mossess","is_marine",1,1,0
"Other animals","is_marine",397,126,271
"Other arthropods","is_marine",1632,151,1481
"Other fungi","is_marine",14,5,9
"Other insects","is_marine",22,9,13
"Other molluscs","is_marine",52,16,36
"Protozoa","is_marine",473,3,470
"Reptiles","is_marine",19,14,5
