"taxaSubGroup","allOccCount"
"Algae",312
"Amphibians",407845
"Angiosperms",563828
"Arachnida",26833
"Ascomycota",1519
"Bacteria",9
"Basidiomycota",2022
"Birds",9212520
"Bivalves",617
"Cephalopods",36
"Chromista",2330
"Cnidarians",851
"Coleoptera",18011
"Echinoderms",556
"Ferns",71757
"Fishes",29322
"Gastropods",20445
"Gymnosperms",5007
"Lepidoptera",152570
"Malacostraca",16351
"Mammals",347333
"Mossess",2659
"Other animals",3445
"Other arthropods",2590
"Other fungi",64
"Other insects",62287
"Other molluscs",187
"Other plants",26
"Protozoa",155
"Reptiles",31651
"Unclassified",39816
