"taxaSubGroup","basisOfRecord","count","count_bin","count_numeric"
"Algae","HumanObservation",197,"101-1,000",3
"Algae","MaterialSample",362,"101-1,000",3
"Algae","Occurrence",2623,"1,001-10,000",4
"Algae","PreservedSpecimen",126,"101-1,000",3
"Algae","Unclassified",4107,"1,001-10,000",4
"Amphibians","HumanObservation",484264,"100,001-10,000,000",6
"Amphibians","MachineObservation",160,"101-1,000",3
"Amphibians","MaterialSample",30,"11-100",2
"Amphibians","Occurrence",24295,"10,001-100,000",5
"Amphibians","PreservedSpecimen",3813,"1,001-10,000",4
"Amphibians","Unclassified",78641,"10,001-100,000",5
"Angiosperms","FossilSpecimen",30,"11-100",2
"Angiosperms","HumanObservation",739918,"100,001-10,000,000",6
"Angiosperms","LivingSpecimen",6469,"1,001-10,000",4
"Angiosperms","MachineObservation",19,"11-100",2
"Angiosperms","MaterialCitation",1,"1-10",1
"Angiosperms","MaterialSample",367,"101-1,000",3
"Angiosperms","Occurrence",392300,"100,001-10,000,000",6
"Angiosperms","PreservedSpecimen",156932,"100,001-10,000,000",6
"Angiosperms","Unclassified",797046,"100,001-10,000,000",6
"Arachnida","HumanObservation",16593,"10,001-100,000",5
"Arachnida","MachineObservation",111,"101-1,000",3
"Arachnida","MaterialSample",86,"11-100",2
"Arachnida","Occurrence",19072,"10,001-100,000",5
"Arachnida","PreservedSpecimen",484,"101-1,000",3
"Arachnida","Unclassified",498,"101-1,000",3
"Archaea","LivingSpecimen",1,"1-10",1
"Archaea","MaterialSample",1,"1-10",1
"Ascomycota","HumanObservation",1155,"1,001-10,000",4
"Ascomycota","LivingSpecimen",21,"11-100",2
"Ascomycota","MachineObservation",42,"11-100",2
"Ascomycota","MaterialSample",264,"101-1,000",3
"Ascomycota","Occurrence",25,"11-100",2
"Ascomycota","PreservedSpecimen",2424,"1,001-10,000",4
"Ascomycota","Unclassified",1013,"1,001-10,000",4
"Bacteria","LivingSpecimen",16,"11-100",2
"Bacteria","MaterialSample",46,"11-100",2
"Bacteria","Occurrence",1267,"1,001-10,000",4
"Bacteria","PreservedSpecimen",7,"1-10",1
"Bacteria","Unclassified",1583,"1,001-10,000",4
"Basidiomycota","HumanObservation",3142,"1,001-10,000",4
"Basidiomycota","LivingSpecimen",31,"11-100",2
