"rank","count","taxonRank"
"class",9665,"class"
"family",259321,"family"
"form",3737,"(infra)species"
"genus",227580,"genus"
"hybrid formula",1232,"hybrid formula"
"infraclass",5,"infraclass"
"kingdom",600,"kingdom"
"order",86786,"order"
"phylum",790,"phylum"
"species",19050534,"(infra)species"
"subclass",652,"subclass"
"subfamily",9390,"subfamily"
"subgenus",12,"subgenus"
"subkingdom",98,"subkingdom"
"subphylum",1358,"subphylum"
"subspecies",895857,"(infra)species"
"superfamily",583,"superfamily"
"variety",158557,"(infra)species"
