taxaSubGroup,zh,include,exclude
Algae,藻類,Phylum == Charophyta & Chlorophyta & Rhodophyta,
Amphibians,兩生類,,
Angiosperms,被子植物,Class == Magnoliopsida,
Arachnida,蛛形綱,,
Archaea,古菌界,Kingdom == Archaea,
Ascomycota,子囊菌门 ,Phylum == Ascomycota,
Bacteria,細菌界,Kingdom == Bacteria,
Basidiomycota,擔子菌門,Phylum == Basidiomycota,
Birds,鳥類,,
Bivalves,雙殼綱,,
Cephalopods,頭足類,,
Chromista,原澡界,Kingdom == Chromista,
Cnidarians,刺胞動物門,,
Coleoptera,鞘翅目,,
Echinoderms,棘皮動物門,,
Ferns,蕨類,Class == Polypodiopsida & Lycopodiopsida,
Fishes,魚類,,
Gastropods,腹足綱,,
Gymnosperms,裸子植物,Class == Cycadopsida & Ginkgoopsida & Pinopsida,
Lepidoptera,鱗翅目 ,,
Malacostraca,軟甲綱,,
Mammals,哺乳類,,
Mossess,苔蘚,Phylum == Anthocerotophyta & Bryophyta & Marchantiophyta,
Other animals,其他動物,,
Other arthropods,其他節肢動物,,
Other fungi,其他真菌,Phylum != Ascomycota & Basidiomycota,
Other insects,其他昆蟲,,
Other molluscs,其他軟體動物,,
Other plants,其他植物,All plants unclassified above,
Protozoa,原生生物界 ,Kingdom == Protozoa,
Reptiles,爬蟲類,,
Unclassified,未分類,,
Viruses,病毒,All viruses,
