"id","rightsHolder","datasetName","basisOfRecord","year","month","latitude","longitude","coordinatePrecision","coordinateUncertaintyInMeters","dataGeneralizations","taxonID","scientificName","taxonRank","kingdom","phylum","class","order","family","genus","occurrenceID","dataSource","datasetID","dataQuality","TOWNID","type","taxaKingdomGroup","taxaSubGroup"
"6481712880233a00214440d1","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2015","06","24.62828","121.00682","0.00001","","","t0073485","Cosmarium formosulum","species","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Desmidiaceae","Cosmarium","R-2020-NA-0010803","TBIA","","good","K14","land","Plantae","Algae"
"6481712080233a00214428ff","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2005","10","23.41677","120.51667","0.00001","","","t0073375","Coenocystis planctonica","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Radiococcaceae","Coenocystis","R-2020-NA-0002605","TBIA","","good","Q14","land","Plantae","Algae"
"6481712c80233a0021444f1c","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2014","04","24.41159","120.86688","0.00001","","","t0058848","Coelastrum morus","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrum","R-2020-NA-0014937","TBIA","","good","K15","land","Plantae","Algae"
"6459f3a6a6de00003ce12c02","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2017","07","23.27255","119.512","","<25公尺","false","t0074742","Martensia fragilis","species","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Martensia","690F751D-2CC5-41BD-84E0-F6663CC47B70","TBIA","","good","sea","sea","Plantae","Algae"
"6481712180233a0021442b84","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2006","05","23.37934","120.4309","0.00001","","","t0075776","Scenedesmus bicaudatus","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","R-2020-NA-0003778","TBIA","","good","D12","land","Plantae","Algae"
"6607a77ef07164005c4e9cd8","臺灣生物多樣性資訊機構 TaiBIF","eDNA along Houdong riverine zonation in Taiwan","MaterialSample","2022","04","24.835469","121.799973","","30.0","","t0000439","Florideophyceae","class","Plantae","Rhodophyta","","","","","houdongkeng_water_edna-4981","TBIA","","good","G02","land","Plantae","Algae"
"6481712380233a00214431c3","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2015","02","23.09","120.48","0.00001","","","t0058870","Cosmarium laeve","species","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Desmidiaceae","Cosmarium","R-2020-NA-0006877","TBIA","","good","D36","land","Plantae","Algae"
"6481712180233a0021442b15","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2006","05","23.43131","120.46357","0.00001","","","t0075773","Scenedesmus acutiformis","species","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","R-2020-NA-0003571","TBIA","","good","Q13","land","Plantae","Algae"
"6481712c80233a0021444d63","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2014","01","24.54885","120.92448","0.00001","","","t0073322","Closterium lunula","species","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Closteriaceae","Closterium","R-2020-NA-0014330","TBIA","","good","K17","land","Plantae","Algae"
"6481712f80233a00214456cc","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2018","07","23.73182","121.48957","0.00001","","","t0058880","Crucigenia apiculata","species","Plantae","Chlorophyta","Trebouxiophyceae","","","Crucigenia","R-2020-NA-0020037","TBIA","","good","U07","land","Plantae","Algae"
