"id","occCount"
"1214-43-11",1
"2620-17-10",1
"2620-28-11",1
"2620-37-00",10
"2620-37-01",4
"2620-37-10",3
"2620-38-00",4
"2620-38-01",1
"2620-46-01",1
"2620-47-00",2
"2620-47-10",1
"2620-47-11",1
"2620-48-00",3
"2620-48-10",4
"2620-48-11",2
"2620-57-10",1
"2620-58-11",1
"2620-64-10",7
"2620-64-11",1
"2620-65-00",5
"2620-66-01",2
"2620-67-00",3
"2620-67-11",1
"2620-68-10",9
"2620-68-11",1
"2620-73-11",2
"2620-76-10",3
"2620-78-00",10
"2620-78-01",2
"2620-78-11",2
"2620-80-01",1
"2620-82-11",2
"2620-83-01",2
"2620-84-00",1
"2620-87-11",4
"2620-94-01",1
"2620-94-10",1
"2620-96-01",1
"2620-98-01",1
"2621-44-11",1
"2621-45-01",3
"2621-45-10",3
"2621-55-10",1
"2719-84-00",1
"2719-96-01",2
"2720-02-10",2
"2720-02-11",1
"2720-04-00",1
"2720-04-11",1
"2720-05-10",1
"2720-06-01",1
"2720-06-10",3
"2720-09-00",1
"2720-09-11",1
"2720-12-01",1
"2720-12-10",1
"2720-12-11",22
"2720-13-00",1
"2720-13-01",1
"2720-13-10",1
"2720-13-11",1
"2720-15-01",1
"2720-15-11",1
"2720-16-00",3
"2720-16-10",4
"2720-17-10",2
"2720-19-11",1
"2720-22-01",6
"2720-22-11",2
"2720-23-00",1
"2720-23-10",1
"2720-24-10",1
"2720-26-00",2
"2720-27-10",1
"2720-28-11",1
"2720-33-00",4
"2720-33-11",1
"2720-34-01",2
"2720-36-01",1
"2720-41-01",3
"2720-41-11",2
"2720-42-01",1
"2720-43-00",1
"2720-43-01",1
"2720-43-10",1
"2720-43-11",1
"2720-44-01",1
"2720-44-11",1
"2720-45-10",2
"2720-45-11",3
"2720-46-11",4
"2720-47-10",1
"2720-51-11",3
"2720-52-00",1
"2720-52-10",2
"2720-53-11",1
"2720-55-01",1
"2720-56-11",2
"2720-60-10",3
"2720-60-11",2
"2720-61-00",2
"2720-61-01",1
"2720-63-01",2
"2720-66-01",1
"2720-66-10",1
"2720-67-10",2
"2720-67-11",5
"2720-70-01",3
"2720-71-10",1
"2720-72-01",2
"2720-72-10",3
"2720-73-01",2
"2720-75-10",2
"2720-76-00",1
"2720-77-01",1
"2720-77-10",1
"2720-80-01",1
"2720-80-11",1
"2720-82-01",1
"2720-83-01",1
"2720-85-01",3
"2720-85-10",1
"2720-86-00",1
"2720-86-01",1
"2720-88-10",1
"2720-89-11",1
"2720-93-10",1
"2720-94-00",1
"2720-94-11",1
"2720-95-00",9
"2720-95-01",1
"2720-95-10",2
"2720-96-01",1
"2720-96-10",1
"2720-98-00",1
"2720-98-01",2
"2720-99-00",3
"2720-99-01",4
"2721-14-11",1
"2721-15-11",1
"2721-20-00",2
"2721-21-10",1
"2721-24-01",5
"2721-24-10",1
"2721-25-00",1
"2721-25-01",1
"2721-25-10",1
"2721-30-11",1
"2721-31-00",2
"2721-31-10",1
"2721-31-11",1
"2721-40-01",1
"2721-40-11",1
"2721-41-00",1
"2721-41-01",1
"2721-41-11",1
"2721-42-00",1
"2721-42-10",1
"2721-52-01",2
"2721-61-11",1
"2721-71-11",2
"2721-72-00",1
"2721-72-01",1
"2721-72-11",3
"2721-73-00",1
"2721-74-10",2
"2721-82-01",1
"2721-90-00",1
"2721-92-10",3
"2721-92-11",1
