"id","year","month","taxaSubGroup"
"6481712880233a00214440d1","2015","06","Algae"
"6481712080233a00214428ff","2005","10","Algae"
"6481712c80233a0021444f1c","2014","04","Algae"
"6459f3a6a6de00003ce12c02","2017","07","Algae"
"6481712180233a0021442b84","2006","05","Algae"
"6607a77ef07164005c4e9cd8","2022","04","Algae"
"6481712380233a00214431c3","2015","02","Algae"
"6481712180233a0021442b15","2006","05","Algae"
"6481712c80233a0021444d63","2014","01","Algae"
"6481712f80233a00214456cc","2018","07","Algae"
"6481712180233a0021442ac0","2006","02","Algae"
"6481712180233a0021442cfd","2010","06","Algae"
"645af8b20d1f13005d3c6461","2017","03","Algae"
"645a0852a6de000056992dcc","2016","06","Algae"
"645a439b0d1f13002f1d7a31","2017","03","Algae"
"6481712180233a0021442c88","2009","10","Algae"
"6481712c80233a0021444ed7","2013","11","Algae"
"6481712c80233a0021444e5c","2014","01","Algae"
"6481712180233a0021442d1e","2012","10","Algae"
"6481712080233a00214428ed","2005","10","Algae"
"6481712180233a0021442b83","2006","05","Algae"
"6481712280233a0021442ef7","2014","08","Algae"
"645a83140d1f13005d3a7d5a","2016","10","Algae"
"6607a77ef07164005c4e9c89","2022","04","Algae"
"6481712c80233a0021444ef7","2014","01","Algae"
"6481712c80233a0021444d43","2013","11","Algae"
"6481712c80233a0021444dbc","2013","09","Algae"
"6481712980233a00214445a8","2015","10","Algae"
"6481712180233a0021442c95","2010","03","Algae"
"645959e9a0a307002cfd3aee","2016","10","Algae"
"6481712e80233a00214454de","2019","03","Algae"
"6481712c80233a0021444f4f","2014","01","Algae"
"6607a77ef07164005c4e9bb1","2022","04","Algae"
"6481712c80233a0021444d33","2013","09","Algae"
"6481712980233a002144463b","2015","10","Algae"
"645b5fc30d1f1300703d2439","2017","03","Algae"
"6481712e80233a00214454da","2019","03","Algae"
"6481712480233a00214436b2","2015","02","Algae"
"6607a77df07164005c4e9ab0","2022","04","Algae"
"6481712e80233a00214453f7","2018","01","Algae"
"6458d3d4a0a307002cfafddc","2017","04","Algae"
"645aaa140d1f13005d3b2251","2016","11","Algae"
"655f6b97ffe55200171eba41","1973","04","Algae"
"645a27db0d1f13002f1cfc30","2017","04","Algae"
"6481712880233a002144412c","2015","10","Algae"
"645b4e810d1f1300703cdf76","2016","06","Algae"
"6481712780233a0021443e90","2015","12","Algae"
"6481712980233a00214445d3","2015","07","Algae"
"6481712f80233a00214457ed","2017","04","Algae"
"6481712180233a0021442ae6","2006","05","Algae"
"6481712380233a00214431c3","2015","02","Algae"
"6481712c80233a0021444fb2","2014","04","Algae"
"6481712d80233a0021445242","2013","11","Algae"
"655f5161ffe55200171947ea","2022","09","Algae"
"6481712980233a002144462e","2016","03","Algae"
"6481712c80233a0021444d63","2014","01","Algae"
"6481712180233a0021442b3b","2006","05","Algae"
"6481712280233a0021442e11","2012","10","Algae"
"6481712b80233a0021444a2d","2018","07","Algae"
"6607a77ef07164005c4e9cb9","2022","04","Algae"
"655f49b0ffe55200171749c0","2020","05","Algae"
"6481712e80233a0021445497","2018","01","Algae"
"6481712280233a0021442fab","2014","08","Algae"
"6481712e80233a002144538e","2017","11","Algae"
"6481712680233a0021443b11","2015","11","Algae"
"6481712480233a00214434a6","2014","08","Algae"
"6481712b80233a0021444bdb","2017","02","Algae"
"6481711f80233a00214426a2","2004","06","Algae"
"6481712f80233a00214456e8","2018","07","Algae"
"645993dfa0a307002cfe3609","2016","07","Algae"
"6481712180233a0021442b35","2006","05","Algae"
"6481712180233a0021442c82","2010","03","Algae"
"6481712e80233a0021445635","2018","04","Algae"
"6481712e80233a0021445514","2019","03","Algae"
"6481711f80233a00214426cf","2004","08","Algae"
"645b5fc30d1f1300703d243b","2016","10","Algae"
"6481712f80233a002144579f","2018","09","Algae"
"6481712280233a0021443035","2015","02","Algae"
"6481712f80233a00214457b1","2018","09","Algae"
"645ab54f0d1f13005d3b552c","2016","07","Algae"
"6481712280233a0021442dc1","2012","12","Algae"
"645a618b0d1f13005d39f404","2017","03","Algae"
"645a7ab20d1f13005d3a5bd8","2020","04","Algae"
"6481712180233a0021442ce6","2010","06","Algae"
"6481712180233a0021442c38","2010","03","Algae"
"6481712e80233a0021445529","2019","03","Algae"
"6607a77df07164005c4e9a82","2022","04","Algae"
"6481711f80233a00214426ff","2004","12","Algae"
"6607a77ef07164005c4e9cb9","2022","04","Algae"
"6481712180233a0021442cbe","2010","03","Algae"
"6481712f80233a002144571a","2018","07","Algae"
"6452394ed9db0801d6b8937c","2022","12","Algae"
"6481712f80233a0021445850","2017","07","Algae"
"6607a77ef07164005c4e9d7b","2022","04","Algae"
"6481712f80233a0021445850","2017","07","Algae"
"6481711f80233a002144268f","2004","06","Algae"
"6481712080233a002144298a","2005","12","Algae"
"645a02d0a6de000056991696","2016","07","Algae"
"6481712180233a0021442c54","2009","10","Algae"
"6481712c80233a0021444f98","2014","01","Algae"
"647f110e6baa2e003f8a26e8","2014","01","Amphibians"
"647f11b46baa2e003f8c1439","2018","08","Amphibians"
"647f114e6baa2e003f8ae662","2019","03","Amphibians"
"647f11106baa2e003f8a2ae3","2010","09","Amphibians"
"647f11236baa2e003f8a6719","2016","05","Amphibians"
"647f12bf6baa2e003f8f3498","2021","05","Amphibians"
"647f11ec6baa2e003f8cbd82","2020","08","Amphibians"
"647f12126baa2e003f8d2d67","2017","07","Amphibians"
"647f125b6baa2e003f8e07f2","2018","05","Amphibians"
"647f12546baa2e003f8df2ce","2021","02","Amphibians"
"647f12156baa2e003f8d35f7","2015","03","Amphibians"
"647f11586baa2e003f8b0271","2019","04","Amphibians"
"647f11a86baa2e003f8bf058","2018","04","Amphibians"
"6481713380233a00214464d8","2005","12","Amphibians"
"647f11686baa2e003f8b32fa","2019","05","Amphibians"
"647f11696baa2e003f8b3478","2019","09","Amphibians"
"647f117b6baa2e003f8b6990","2014","08","Amphibians"
"647f10e66baa2e003f89ae06","2016","02","Amphibians"
"647f116b6baa2e003f8b3ceb","2019","10","Amphibians"
"647f120e6baa2e003f8d21ee","2017","08","Amphibians"
"647f11e26baa2e003f8c9f00","2017","10","Amphibians"
"647f116d6baa2e003f8b4128","2017","05","Amphibians"
"647f11716baa2e003f8b4c9c","2014","07","Amphibians"
"653a6ff8794f0400153b5260","2013","10","Amphibians"
"647f12b86baa2e003f8f209f","2021","07","Amphibians"
"647f11016baa2e003f89ffcf","2012","08","Amphibians"
"647f120c6baa2e003f8d1c68","2017","11","Amphibians"
"647f12436baa2e003f8dc02b","2019","06","Amphibians"
"647f110c6baa2e003f8a2027","2013","11","Amphibians"
"647f12276baa2e003f8d6dbf","2020","07","Amphibians"
"647f11a56baa2e003f8be985","2018","05","Amphibians"
"647f12486baa2e003f8dd190","2018","01","Amphibians"
"647f11d46baa2e003f8c742c","2017","08","Amphibians"
"647f11d56baa2e003f8c771d","2020","05","Amphibians"
"647f12856baa2e003f8e87e7","2019","04","Amphibians"
"647f11f06baa2e003f8cca00","2017","03","Amphibians"
"647f10ee6baa2e003f89c608","2006","09","Amphibians"
"64525345d9db0801d6babac8","2022","04","Amphibians"
"647f120a6baa2e003f8d1749","2017","10","Amphibians"
"647f116f6baa2e003f8b465a","2019","11","Amphibians"
