"id","rightsHolder","datasetName","basisOfRecord","year","month","latitude","longitude","coordinatePrecision","coordinateUncertaintyInMeters","type","taxon_id","taxonRank","taxaSubGroup","kingdom","phylum","class","order","family","genus","scientificName","is_terrestrial","is_freshwater","is_brackish","is_marine","simple_scientificName"
"6481712880233a00214440d1","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2015","06",24.62828,121.00682,1e-05,,"land","t0073485","species","Algae","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Desmidiaceae","Cosmarium","Cosmarium formosulum",,"true",,,"Cosmarium formosulum"
"6481712080233a00214428ff","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2005","10",23.41677,120.51667,1e-05,,"land","t0073375","species","Algae","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Radiococcaceae","Coenocystis","Coenocystis planctonica",,"true",,,"Coenocystis planctonica"
"6481712c80233a0021444f1c","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2014","04",24.41159,120.86688,1e-05,,"land","t0058848","species","Algae","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrum","Coelastrum morus",,"true",,,"Coelastrum morus"
"6459f3a6a6de00003ce12c02","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2017","07",23.27255,119.512,,,"sea","t0074742","species","Algae","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Martensia","Martensia fragilis",,,,"true","Martensia fragilis"
"6481712180233a0021442b84","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2006","05",23.37934,120.4309,1e-05,,"land","t0075776","species","Algae","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","Scenedesmus bicaudatus",,"true",,,"Scenedesmus bicaudatus"
"6607a77ef07164005c4e9cd8","臺灣生物多樣性資訊機構 TaiBIF","eDNA along Houdong riverine zonation in Taiwan","MaterialSample","2022","04",24.835469,121.799973,,30,"land","t0000439","class","Algae","Plantae","Rhodophyta","","","","","Florideophyceae",,,,,
"6481712380233a00214431c3","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2015","02",23.09,120.48,1e-05,,"land","t0058870","species","Algae","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Desmidiaceae","Cosmarium","Cosmarium laeve",,"true",,,"Cosmarium laeve"
"6481712180233a0021442b15","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2006","05",23.43131,120.46357,1e-05,,"land","t0075773","species","Algae","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","Scenedesmus acutiformis",,"true",,,"Scenedesmus acutiformis"
"6481712c80233a0021444d63","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2014","01",24.54885,120.92448,1e-05,,"land","t0073322","species","Algae","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Closteriaceae","Closterium","Closterium lunula",,"true",,,"Closterium lunula"
"6481712f80233a00214456cc","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2018","07",23.73182,121.48957,1e-05,,"land","t0058880","species","Algae","Plantae","Chlorophyta","Trebouxiophyceae","","","Crucigenia","Crucigenia apiculata",,"true",,,"Crucigenia apiculata"
